Sample_ID,Bioproject,Name_cn,Name,Whiteness_Degree_of_Complete_Grain(%),Whiteness_Degree_of_Dead_Grain(%),Amylose_Content_of_Grain(%),Protein_Content_of_Grain(%),Taste_Score_of_Cooked_Grain,Water_Content_of_Grain,Awn_Length(cm),Grain_Length(mm),Grain_Width(mm),Grain_Thickness(mm),1000_Grain_Weight(g),"Heading_Date(50%,days)",Flag_Leaf_Length(cm),Flag_Leaf_Width(cm),Leaf_Blade_Width(cm),Leaf_Sheath_Color,Plant_Height(cm),Panicle_Length(cm),Culm_Length(cm),SPAD_Value_of_Flag_Leaf,Tiller_Number_per_Plant(num),Blighted_Grains_per_Plant(num),Blighted_Grains_per_Panicle(num),Blighted_Grains_Weight_per_Plant(g),Filled_Grains_per_Plant(num),Filled_Grains_per_Panicle(num),Filled_Grains_Weight_per_Plant(g),Grain_Number_per_Panicle(num),Seed_Setting_Rate(%),Grain_Yield_per_Plant(g),Panicle_Number_per_Plant(num),Number_of_Productive_Panicle_per_Plant(num),Panicle_Weight(g),Spikelet_Number_per_Panicle(num),Panicle_Weight_per_Plant(g),Yield_per_Plant(g),Cd_concentration,Treatment,Years,Region
SAMC008215,PRJCA000322,嘉花1号(嘉兴),JiaHua1Hao,,,,,,,,7.2,3.2,,24,133,,,,,94,,,,8,,,,,,,,,22.7,,,,,,,,,2015,Beijing
SAMC008216,PRJCA000322,春江1号,ChunJiang1Hao,,,,,,,,7.5,3.2,,21.5,139,,,,,92,,,,14,,,,,,,,,17.1,,,,,,,,,2015,Beijing
SAMC008217,PRJCA000322,连粳10号,LianGeng10Hao,,,,,,,,7.2,3.2,,26.1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008218,PRJCA000322,优Ⅰ,YouI,,,,,,,,7.4,3.3,,20.8,142,,,,,101,,,,13,,,,,,,,,20.9,,,,,,,,,2015,Beijing
SAMC008219,PRJCA000322,甬粳05-8,YongGeng05-8,,,,,,,,6.9,3.3,,12.9,141,,,,,102,,,,8,,,,,,,,,11,,,,,,,,,2015,Beijing
SAMC008220,PRJCA000322,甬直19,YongZhi19,,,,,,,,6.8,3.4,,19.3,140,,,,,107,,,,7,,,,,,,,,14.7,,,,,,,,,2015,Beijing
SAMC008221,PRJCA000322,沪粳312,HuGeng312,,,,,,,,7.6,3.2,,24.8,118,,,,,92,,,,12,,,,,,,,,31.3,,,,,,,,,2015,Beijing
SAMC008222,PRJCA000322,青角301,QingJiao301,,,,,,,,7.6,3,,26.7,117,,,,,102,,,,7,,,,,,,,,25.9,,,,,,,,,2015,Beijing
SAMC008223,PRJCA000322,青角307,QingJiao307,,,,,,,,7,3,,15.9,145,,,,,98,,,,9,,,,,,,,,11,,,,,,,,,2015,Beijing
SAMC008224,PRJCA000322,宝农34,BaoNong34,,,,,,,,7.4,3.1,,22.7,134,,,,,100,,,,4,,,,,,,,,13.1,,,,,,,,,2015,Beijing
SAMC008225,PRJCA000322,金农丰,JinNongFeng,,,,,,,,7.4,2.9,,22.1,134,,,,,104,,,,6,,,,,,,,,16.8,,,,,,,,,2015,Beijing
SAMC008226,PRJCA000322,金丰,JinFeng,,,,,,,,7.6,3,,21.9,133,,,,,108,,,,5,,,,,,,,,17.6,,,,,,,,,2015,Beijing
